# L=15, N=15, T=1.0, sym gs
#          U         Eg                 S₁(ℓ=7)              S₁acc(ℓ=7)                 S₂(ℓ=7)              S₂acc(ℓ=7)                 EN(ℓ=7)              ENacc(ℓ=7)
    2.009233     -2.015863302867E+01      1.630514971450E+00      1.965620080701E-01      1.365759228291E+00      8.860420640223E-02      2.244144532086E+00      6.359142229219E-01
    2.154435     -1.960491107438E+01      1.616992476928E+00      2.010659674294E-01      1.348647047847E+00      9.102435927942E-02      2.235840671176E+00      6.436307208255E-01
    2.310130     -1.902721607721E+01      1.602705148477E+00      2.057567565746E-01      1.330301464857E+00      9.357932425031E-02      2.226895682144E+00      6.512318662855E-01
    2.477076     -1.842561021308E+01      1.587507023283E+00      2.107076559310E-01      1.310415791485E+00      9.633164411323E-02      2.217156048555E+00      6.586607686196E-01
    2.656088     -1.780043025710E+01      1.571192383108E+00      2.160074683804E-01      1.288565861133E+00      9.936740342792E-02      2.206396555868E+00      6.658179925689E-01
    2.848036     -1.715237271823E+01      1.553460061938E+00      2.217557083671E-01      1.264154949697E+00      1.028027811080E-01      2.194281805670E+00      6.725332302778E-01
    3.053856     -1.648260709840E+01      1.533853944107E+00      2.280463307136E-01      1.236333339940E+00      1.067891468495E-01      2.180306657698E+00      6.785191306862E-01
    3.274549     -1.579292589089E+01      1.511665774989E+00      2.349276603569E-01      1.203887944434E+00      1.115108051574E-01      2.163706370160E+00      6.832980669211E-01
    3.511192     -1.508593847390E+01      1.485785243291E+00      2.423179356171E-01      1.165113127726E+00      1.171616822977E-01      2.143329001533E+00      6.860926089131E-01
    3.764936     -1.436530593498E+01      1.454498099842E+00      2.498505700470E-01      1.117724467116E+00      1.238741226687E-01      2.117477848388E+00      6.856811955669E-01
    4.037017     -1.363598301182E+01      1.415299700833E+00      2.566419784928E-01      1.058993844397E+00      1.315604307872E-01      2.083780870309E+00      6.802606994019E-01
    4.328761     -1.290436614489E+01      1.364954479133E+00      2.610648602077E-01      9.864467772217E-01      1.396465667532E-01      2.039250592272E+00      6.674513093358E-01
    4.641589     -1.217815005189E+01      1.300239636092E+00      2.608021310370E-01      8.994105615020E-01      1.467961984064E-01      1.980824984732E+00      6.447012590071E-01
    4.977024     -1.146566346735E+01      1.219660213449E+00      2.535740268441E-01      8.008806427327E-01      1.509600155116E-01      1.906595503601E+00      6.102986827845E-01
    5.336699     -1.077467924293E+01      1.125343670558E+00      2.384749719667E-01      6.978318972386E-01      1.501342109352E-01      1.817295958821E+00      5.646593498371E-01
    5.722368     -1.011117778105E+01      1.023160755609E+00      2.168639201111E-01      5.986324031744E-01      1.435595367253E-01      1.716823212506E+00      5.108306130842E-01
    6.135907     -9.478761304005E+00      9.203323567076E-01      1.917569026478E-01      5.094462682673E-01      1.322624160297E-01      1.610988892748E+00      4.534772062868E-01
    6.579332     -8.878931435592E+00      8.225700192108E-01      1.662722532289E-01      4.327291978730E-01      1.183541225846E-01      1.505395478940E+00      3.970860089382E-01
    7.054802     -8.311802938665E+00      7.329292879893E-01      1.425361534985E-01      3.681334905553E-01      1.038773961055E-01      1.404001926714E+00      3.447459644614E-01
    7.564633     -7.776749408858E+00      6.523063901990E-01      1.215324703298E-01      3.140642742870E-01      9.016951297504E-02      1.308893075617E+00      2.979613508919E-01
    8.111308     -7.272792840193E+00      5.804049245879E-01      1.034573894450E-01      2.687176145984E-01      7.785338424881E-02      1.220753251824E+00      2.570691234157E-01
    8.697490     -6.798786955341E+00      5.164577800551E-01      8.810934170422E-02      2.305063312757E-01      6.708692546157E-02      1.139456439241E+00      2.217507494871E-01
    9.326033     -6.353493767913E+00      4.596009110153E-01      7.514315618534E-02      1.981472862776E-01      5.779703640611E-02      1.064505075411E+00      1.914078597924E-01
   10.000000     -5.935619212664E+00      4.090210810942E-01      6.419721041657E-02      1.706257627748E-01      4.982323505338E-02      9.952865761717E-01      1.653775885669E-01
   10.722672     -5.543836743701E+00      3.639963231149E-01      5.494420689672E-02      1.471362328510E-01      4.298812736213E-02      9.311992646912E-01      1.430345256849E-01
   11.497570     -5.176807626621E+00      3.238959722778E-01      4.710498179823E-02      1.270312466492E-01      3.712616906803E-02      8.717028872169E-01      1.238282998731E-01
