# L=15, N=15, T=1.0, sym gs
# S1
#          U                     n=0                     n=1                     n=2                     n=3                     n=4                     n=5                     n=6                     n=7                     n=8                     n=9                    n=10                    n=11                    n=12                    n=13                    n=14                    n=15
    0.100000      9.838719763650E-05      1.793816094723E-03      1.364200912746E-02      5.719617334289E-02      1.479532133229E-01      2.564978110509E-01      3.280032634068E-01      3.482749876292E-01      3.268273446047E-01      2.548843509769E-01      1.482257576791E-01      5.935980864498E-02      1.546788126505E-02      2.465348456582E-03      2.154167551505E-04      7.831160179640E-06
    0.107227      8.734031977173E-05      1.652095549968E-03      1.295032364157E-02      5.560286523750E-02      1.463096780566E-01      2.562670919422E-01      3.290953686975E-01      3.497087917091E-01      3.279592475439E-01      2.547217779228E-01      1.466422572772E-01      5.774117034898E-02      1.469428827918E-02      2.272281127776E-03      1.913680947909E-04      6.661472083092E-06
    0.114976      7.708395338820E-05      1.515441033980E-03      1.226192530260E-02      5.397567302691E-02      1.445951448311E-01      2.560108128461E-01      3.302284220454E-01      3.511993265369E-01      3.291326558546E-01      2.545344144280E-01      1.449869231226E-01      5.608565982712E-02      1.392333043352E-02      2.085883481626E-03      1.690155476971E-04      5.621465096302E-06
    0.123285      6.762298688824E-05      1.384288115506E-03      1.157900675570E-02      5.231727288757E-02      1.428084701834E-01      2.557264521645E-01      3.314020010997E-01      3.527464971822E-01      3.303470313074E-01      2.543195437184E-01      1.432583661187E-01      5.439593117202E-02      1.315750383021E-02      1.906777636886E-03      1.483751491787E-04      4.704776054422E-06
    0.132194      5.895372875888E-05      1.259020266673E-03      1.090376051280E-02      5.063059192327E-02      1.409486609674E-01      2.554113326812E-01      3.326155177515E-01      3.543500233184E-01      3.316016622763E-01      2.540742852300E-01      1.414553517693E-01      5.267491722099E-02      1.239931636534E-02      1.735515698059E-03      1.294438261450E-04      3.904003810757E-06
    0.141747      5.106427369496E-05      1.139963840402E-03      1.023835616268E-02      4.891879695765E-02      1.390148870829E-01      2.550626226867E-01      3.338682190835E-01      3.560094398867E-01      3.328956659119E-01      2.537955982649E-01      1.395768160901E-01      5.092581908852E-02      1.165126076195E-02      1.572572064432E-03      1.122000927205E-04      3.210935378889E-06
    0.151991      4.393504953836E-05      1.027384111116E-03      9.584917396596E-03      4.718528069499E-02      1.370064938837E-01      2.546773378108E-01      3.351591899846E-01      3.577240997082E-01      3.342279921879E-01      2.534802866077E-01      1.376218810574E-01      4.915209242253E-02      1.091578710384E-02      1.418337231987E-03      9.660517371340E-05      2.616781055805E-06
    0.162975      3.753952424755E-05      9.214824760460E-04      8.945499259266E-03      4.543364538385E-02      1.349230142093E-01      2.542523434446E-01      3.364873573301E-01      3.594931779178E-01      3.355974296962E-01      2.531250039226E-01      1.355898694308E-01      4.735743049953E-02      1.019527540399E-02      1.273113258263E-03      8.260451159209E-05      2.112409169114E-06
    0.174753      3.184504667919E-05      8.223948801364E-04      8.322066028994E-03      4.366768415042E-02      1.327641800055E-01      2.537843576160E-01      3.378514955808E-01      3.613156780344E-01      3.370026130145E-01      2.527262597182E-01      1.334803188162E-01      4.554574433547E-02      9.492008747752E-03      1.137111007899E-03      7.012959831262E-05      1.688571591025E-06
    0.187382      2.681379082176E-05      7.301914917103E-04      7.716470115649E-03      4.189136019297E-02      1.305299335165E-01      2.532699541730E-01      3.392502336173E-01      3.631904394245E-01      3.384420314193E-01      2.522804256467E-01      1.312929948580E-01      4.372114004385E-02      8.808147540825E-03      1.010449239690E-03      5.910006207308E-05      1.336112137415E-06
    0.200923      2.240377043090E-05      6.448776200495E-04      7.130432340399E-03      4.010878404531E-02      1.282204380483E-01      2.527055661197E-01      3.406820625935E-01      3.651161458680E-01      3.399140386815E-01      2.517837418920E-01      1.290279034889E-01      4.188789371866E-02      8.145705365990E-03      8.931555374113E-04      4.942593141973E-05      1.046151334318E-06
    0.215443      1.856988984730E-05      5.663958313267E-04      6.565523929543E-03      3.832418912597E-02      1.258360883171E-01      2.520874889532E-01      3.421453445683E-01      3.670913348908E-01      3.414168636486E-01      2.512323233939E-01      1.266853021948E-01      4.005042415538E-02      7.506526911860E-03      7.851690289322E-04      4.100999538270E-05      8.102426735550E-07
    0.231013      1.526499711211E-05      4.946291870306E-04      6.023150517607E-03      3.654190579236E-02      1.233775204077E-01      2.514118838480E-01      3.436383216642E-01      3.691144074996E-01      3.429486213016E-01      2.506221656604E-01      1.242657102931E-01      3.821326374667E-02      6.892268384269E-03      6.863447837840E-04      3.375017852535E-05      6.204972674217E-07
    0.247708      1.244090723663E-05      4.294055001377E-04      5.504538414003E-03      3.476633411586E-02      1.208456213713E-01      2.506747805454E-01      3.451591254926E-01      3.711836379326E-01      3.445073239686E-01      2.499491499335E-01      1.217699182516E-01      3.638102790204E-02      6.304380748583E-03      5.964597306112E-04      2.754185374733E-05      4.696756206433E-07
