# L=8, N=8, T=1.0, sym gs
#          U         Eg                 S₁(ℓ=4)              S₁acc(ℓ=4)                 S₂(ℓ=4)              S₂acc(ℓ=4)                 EN(ℓ=4)              ENacc(ℓ=4)
    1.629751     -1.165307318336E+01      1.454979630271E+00      8.592787562862E-02      1.250209041250E+00      3.294511111366E-02      1.825807191527E+00      2.768252588983E-01
    1.747528     -1.139871530061E+01      1.443187860933E+00      8.887484005008E-02      1.236051872290E+00      3.429883307796E-02      1.819111655932E+00      2.835895950159E-01
    1.873817     -1.113216754102E+01      1.430847649558E+00      9.180513669876E-02      1.221195706074E+00      3.565228189669E-02      1.812006145099E+00      2.903298872361E-01
    2.009233     -1.085319766764E+01      1.417892208548E+00      9.472296272584E-02      1.205519822550E+00      3.700751495966E-02      1.804464514443E+00      2.970546525872E-01
    2.154435     -1.056163597907E+01      1.404238968642E+00      9.763682180856E-02      1.188869752614E+00      3.836946144314E-02      1.796453854173E+00      3.037746446891E-01
    2.310130     -1.025739369850E+01      1.389784169211E+00      1.005605712250E-01      1.171046760872E+00      3.974701211942E-02      1.787930882728E+00      3.105015523572E-01
    2.477076     -9.940486196118E+00      1.374395207004E+00      1.035144021759E-01      1.151794186134E+00      4.115440005344E-02      1.778836446774E+00      3.172453751540E-01
    2.656088     -9.611062379330E+00      1.357899802267E+00      1.065254127802E-01      1.130780101231E+00      4.261285778433E-02      1.769087236738E+00      3.240096697276E-01
    2.848036     -9.269441845515E+00      1.340070751967E+00      1.096271215817E-01      1.107576181511E+00      4.415242704697E-02      1.758563504351E+00      3.307834866433E-01
    3.053856     -8.916161534005E+00      1.320604845186E+00      1.128567757040E-01      1.081633862900E+00      4.581357402160E-02      1.747091298183E+00      3.375284362967E-01
    3.274549     -8.552033392180E+00      1.299094746555E+00      1.162486061237E-01      1.052261576792E+00      4.764785197534E-02      1.734417618310E+00      3.441589348483E-01
    3.511192     -8.178213498135E+00      1.274994060889E+00      1.198203717188E-01      1.018612217779E+00      4.971617147870E-02      1.720177537078E+00      3.505138521600E-01
    3.764936     -7.796280304444E+00      1.247579820409E+00      1.235500564182E-01      9.796992287645E-01      5.208227006182E-02      1.703854580146E+00      3.563192006534E-01
    4.037017     -7.408313931641E+00      1.215925464474E+00      1.273405951522E-01      9.344724084510E-01      5.479797517719E-02      1.684741022018E+00      3.611456202070E-01
    4.328761     -7.016958519843E+00      1.178912737001E+00      1.309751753201E-01      8.819946781462E-01      5.787676061922E-02      1.661914684647E+00      3.643728409263E-01
    4.641589     -6.625435912654E+00      1.135329696268E+00      1.340764751074E-01      8.217506323214E-01      6.125494577074E-02      1.634262734857E+00      3.651862774666E-01
    4.977024     -6.237466645060E+00      1.084107756892E+00      1.360993286351E-01      7.540576491238E-01      6.474832630450E-02      1.600593301760E+00      3.626427685487E-01
    5.336699     -5.857056760040E+00      1.024709297028E+00      1.363965345841E-01      6.804298962910E-01      6.802598194233E-02      1.559863733892E+00      3.558370199714E-01
    5.722368     -5.488144174995E+00      9.575633019484E-01      1.343782188743E-01      6.036354695521E-01      7.063344553740E-02      1.511498920053E+00      3.441569689465E-01
    6.135907     -5.134168564907E+00      8.843125538902E-01      1.297226690544E-01      5.272482179850E-01      7.208577923079E-02      1.455684942142E+00      3.275395834500E-01
    6.579332     -4.797696390383E+00      8.076386059809E-01      1.225292012389E-01      4.548000064828E-01      7.200870343652E-02      1.393474643158E+00      3.065882655514E-01
    7.054802     -4.480234218457E+00      7.306663271395E-01      1.133116527526E-01      3.889538474241E-01      7.026091738663E-02      1.326614062814E+00      2.824640549095E-01
    7.564633     -4.182278131302E+00      6.562427086320E-01      1.028336496531E-01      3.311024731955E-01      6.697159665891E-02      1.257162427637E+00      2.565985299555E-01
