# M=8, N=4, max=1, PBC
# U/t                  E0/t                S1(l=4)             S1_OP(l=4)          S2.0(l=4)           S2.0_OP(l=4)        Sigma2_n(l=4)       H(2.0)              S(2.0)_OP(5) 
  -2.0                  -8.0                 1.1380735149623165   -1.2688263138572398e-16 0.9959083598388454   -2.5376526277146434e-16 0.5714285714285712   0.9959083598388456   -8.88178419700125e-16 
  -1.5                  -7.196524039317444   1.0729370721000482   0.04179825891871246  0.8919409084685014   0.014123793329784515 0.46094346706980716  0.8758500529114901   0.014118895323338737 
  -1.0                  -6.478156424342157   1.052672767869974    0.09572785506504225  0.833996271481479    0.03865743302573526  0.39708214575263767  0.7893151644901867   0.03861476902790471  
  -0.5                  -5.82478759623943    1.0454422273634982   0.1437525855725342   0.797518809043503    0.06419090576133732  0.3549705139526589   0.7221269168727033   0.06404671756440666  
  0.0                   -5.226251859505508   1.0437380304709065   0.18754401559359155  0.7729211234686695   0.09026298209406522  0.32322330470336524  0.665522789691696    0.08992390753212366  
