# L=5, N=5, T=1.0, sym gs
#          U         Eg                 S₁(ℓ=2)              S₁acc(ℓ=2)                 S₂(ℓ=2)              S₂acc(ℓ=2)                 EN(ℓ=2)              ENacc(ℓ=2)
    3.300000     -5.467307320280E+00      1.123423545311E+00      4.669356981867E-02      9.097098421076E-01      1.610446519197E-02      1.447951224791E+00      1.786613491623E-01
    3.400000     -5.369728244737E+00      1.113755659630E+00      4.752275705427E-02      8.965053303870E-01      1.648745732282E-02      1.442368341031E+00      1.804962010465E-01
    3.500000     -5.273977141950E+00      1.103959874171E+00      4.833532434101E-02      8.831036134120E-01      1.687192587081E-02      1.436707274854E+00      1.822372524917E-01
    3.600000     -5.180039481143E+00      1.094028077700E+00      4.913106000102E-02      8.695068490922E-01      1.725817759515E-02      1.430961564038E+00      1.838830009687E-01
    3.700000     -5.087901385462E+00      1.083953204038E+00      4.990948124274E-02      8.557194902764E-01      1.764638722934E-02      1.425124941057E+00      1.854316241770E-01
    3.800000     -4.997549435889E+00      1.073729291981E+00      5.066985651261E-02      8.417482450395E-01      1.803659843567E-02      1.419191404383E+00      1.868810621147E-01
    3.900000     -4.908970486475E+00      1.063351542652E+00      5.141123047539E-02      8.276020152263E-01      1.842872620819E-02      1.413155288172E+00      1.882290969095E-01
    4.000000     -4.822151491160E+00      1.052816372121E+00      5.213245135454E-02      8.132918117853E-01      1.882256072593E-02      1.407011329412E+00      1.894734299613E-01
    4.100000     -4.737079342560E+00      1.042121457141E+00      5.283220029802E-02      7.988306461629E-01      1.921777263597E-02      1.400754731572E+00      1.906117558583E-01
    4.200000     -4.653740723197E+00      1.031265772043E+00      5.350902237222E-02      7.842333978062E-01      1.961391972059E-02      1.394381223771E+00      1.916418324653E-01
    4.300000     -4.572121969707E+00      1.020249614944E+00      5.416135873135E-02      7.695166586157E-01      2.001045487496E-02      1.387887114506E+00      1.925615465499E-01
    4.400000     -4.492208950513E+00      1.009074621697E+00      5.478757946391E-02      7.546985559721E-01      2.040673529398E-02      1.381269339041E+00      1.933689743100E-01
    4.500000     -4.413986957475E+00      9.977437663023E-01      5.538601658506E-02      7.397985566967E-01      2.080203273871E-02      1.374525499642E+00      1.940624361924E-01
    4.600000     -4.337440611902E+00      9.862613468254E-01      5.595499662572E-02      7.248372549584E-01      2.119554472722E-02      1.367653897941E+00      1.946405454417E-01
    4.700000     -4.262553785223E+00      9.746329562558E-01      5.649287226796E-02      7.098361476971E-01      2.158640647196E-02      1.360653558880E+00      1.951022499042E-01
    4.800000     -4.189309534512E+00      9.628654381419E-01      5.699805249154E-02      6.948174015472E-01      2.197370336730E-02      1.353524245825E+00      1.954468667058E-01
    4.900000     -4.117690052843E+00      9.509668272583E-01      5.746903072931E-02      6.798036155230E-01      2.235648381744E-02      1.346266466631E+00      1.956741095473E-01
    5.000000     -4.047676634359E+00      9.389462759707E-01      5.790441057750E-02      6.648175838358E-01      2.273377218803E-02      1.338881470632E+00      1.957841084884E-01
    5.100000     -3.979249653713E+00      9.268139673571E-01      5.830292866966E-02      6.498820631752E-01      2.310458166312E-02      1.331371236701E+00      1.957774222337E-01
    5.200000     -3.912388559386E+00      9.145810164988E-01      5.866347439727E-02      6.350195485832E-01      2.346792679467E-02      1.323738452730E+00      1.956550430744E-01
    5.300000     -3.847071880217E+00      9.022593616617E-01      5.898510624235E-02      6.202520617200E-01      2.382283554339E-02      1.315986487058E+00      1.954183947750E-01
    5.400000     -3.783277244310E+00      8.898616473308E-01      5.926706457574E-02      6.056009548686E-01      2.416836062596E-02      1.308119352507E+00      1.950693238260E-01
    5.500000     -3.720981409372E+00      8.774011012371E-01      5.950878086341E-02      5.910867334794E-01      2.450359000637E-02      1.300141663861E+00      1.946100845927E-01
    5.600000     -3.660160303377E+00      8.648914076159E-01      5.970988331052E-02      5.767288994569E-01      2.482765639403E-02      1.292058589681E+00      1.940433189924E-01
    5.700000     -3.600789074395E+00      8.523465789592E-01      5.987019905495E-02      5.625458167469E-01      2.513974564020E-02      1.283875799489E+00      1.933720314009E-01
    5.800000     -3.542842148325E+00      8.397808284815E-01      5.998975309553E-02      5.485546001444E-01      2.543910395398E-02      1.275599407332E+00      1.925995595500E-01
    5.900000     -3.486293293270E+00      8.272084454004E-01      6.006876420388E-02      5.347710276189E-01      2.572504388979E-02      1.267235912821E+00      1.917295422017E-01
    6.000000     -3.431115689232E+00      8.146436749658E-01      6.010763812000E-02      5.212094758795E-01      2.599694908770E-02      1.258792140675E+00      1.907658843951E-01
    6.100000     -3.377282001862E+00      8.021006049516E-01      6.010695837039E-02      5.078828783854E-01      2.625427777632E-02      1.250275179792E+00      1.897127210485E-01
    6.200000     -3.324764459020E+00      7.895930600692E-01      6.006747507307E-02      4.948027045703E-01      2.649656507323E-02      1.241692322790E+00      1.885743796656E-01
    6.300000     -3.273534928955E+00      7.771345054887E-01      5.999009210614E-02      4.819789586907E-01      2.672342414036E-02      1.233051006893E+00      1.873553428450E-01
    6.400000     -3.223564999001E+00      7.647379603643E-01      5.987585301763E-02      4.694201964394E-01      2.693454627067E-02      1.224358756918E+00      1.860602112304E-01
    6.500000     -3.174826053791E+00      7.524159219746E-01      5.972592604397E-02      4.571335572780E-01      2.712969999709E-02      1.215623131035E+00      1.846936674681E-01
    6.600000     -3.127289352050E+00      7.401803008129E-01      5.954158858597E-02      4.451248103373E-01      2.730872932586E-02      1.206851669852E+00      1.832604416560E-01
    6.700000     -3.080926101202E+00      7.280423667077E-01      5.932421146425E-02      4.333984117023E-01      2.747155120358E-02      1.198051849239E+00      1.817652786909E-01
    6.800000     -3.035707529078E+00      7.160127058184E-01      5.907524324483E-02      4.219575709262E-01      2.761815233073E-02      1.189231037243E+00      1.802129078349E-01
    6.900000     -2.991604952174E+00      7.041011881540E-01      5.879619488958E-02      4.108043247045E-01      2.774858543491E-02      1.180396455275E+00      1.786080147443E-01
    7.000000     -2.948589839986E+00      6.923169450907E-01      5.848862494903E-02      3.999396157618E-01      2.786296511453E-02      1.171555143710E+00      1.769552161264E-01
    7.100000     -2.906633875077E+00      6.806683562323E-01      5.815412547669E-02      3.893633751630E-01      2.796146335878E-02      1.162713931908E+00      1.752590371221E-01
